"","treatment","stage","session","period","subject","time","action","choice","subject_unq"
"1",1,7,1,-3,14,3.30699999999979,"uc",100,11014
"2",1,7,1,-3,9,4.30500000000029,"uc",100,11009
"3",1,7,1,-3,14,4.50799999999981,"send",1,11014
"4",1,7,1,-3,22,4.56999999999971,"uc",50,11022
"5",1,7,1,-3,2,5.28799999999956,"uc",0,11002
"6",1,7,1,-3,20,5.35000000000036,"uc",0,11020
"7",1,7,1,-3,7,5.42799999999988,"uc",100,11007
"8",1,7,1,-3,16,5.64699999999994,"uc",50,11016
"9",1,7,1,-3,22,6.13000000000011,"uc",0,11022
"10",1,7,1,-3,11,6.20799999999963,"uc",100,11011
"11",1,7,1,-3,12,6.53600000000006,"uc",100,11012
"12",1,7,1,-3,8,6.72299999999996,"uc",50,11008
"13",1,7,1,-3,9,6.98800000000028,"send",1,11009
"14",1,7,1,-3,7,7.09799999999996,"send",1,11007
"15",1,7,1,-3,22,7.34699999999975,"send",1,11022
"16",1,7,1,-3,11,7.4409999999998,"send",1,11011
"17",1,7,1,-3,1,7.47199999999975,"uc",50,11001
"18",1,7,1,-3,4,7.51900000000023,"uc",100,11004
"19",1,7,1,-3,15,7.51900000000023,"uc",0,11015
"20",1,7,1,-3,14,7.5659999999998,"confirm",1,11014
"21",1,7,1,-3,16,7.58100000000013,"send",1,11016
"22",1,7,1,-3,20,7.6279999999997,"send",1,11020
"23",1,7,1,-3,2,7.84599999999955,"send",1,11002
"24",1,7,1,-3,12,8.01800000000003,"send",1,11012
"25",1,7,1,-3,13,8.29899999999998,"uc",100,11013
"26",1,7,1,-3,8,8.54799999999977,"send",1,11008
"27",1,7,1,-3,15,8.6260000000002,"send",1,11015
"28",1,7,1,-3,1,9.10999999999967,"send",1,11001
"29",1,7,1,-3,10,9.26599999999962,"uc",50,11010
"30",1,7,1,-3,18,9.34400000000005,"uc",100,11018
"31",1,7,1,-3,13,9.54699999999957,"send",1,11013
"32",1,7,1,-3,20,9.98400000000038,"confirm",1,11020
"33",1,7,1,-3,2,10.0619999999999,"confirm",1,11002
"34",1,7,1,-3,12,10.3580000000002,"confirm",1,11012
"35",1,7,1,-3,10,10.5450000000001,"send",1,11010
"36",1,7,1,-3,6,10.6080000000002,"uc",100,11006
"37",1,7,1,-3,22,10.6229999999996,"confirm",1,11022
"38",1,7,1,-3,9,10.6700000000001,"confirm",1,11009
"39",1,7,1,-3,4,11.4809999999998,"send",1,11004
"40",1,7,1,-3,18,11.7619999999997,"send",1,11018
"41",1,7,1,-3,11,11.9650000000002,"confirm",1,11011
"42",1,7,1,-3,16,12.2929999999997,"confirm",1,11016
"43",1,7,1,-3,7,12.5420000000004,"confirm",1,11007
"44",1,7,1,-3,5,12.558,"uc",100,11005
"45",1,7,1,-3,8,12.6360000000004,"confirm",1,11008
"46",1,7,1,-3,10,12.7139999999999,"confirm",1,11010
"47",1,7,1,-3,13,12.8540000000003,"confirm",1,11013
"48",1,7,1,-3,1,13.6809999999996,"confirm",1,11001
"49",1,7,1,-3,15,13.884,"confirm",1,11015
"50",1,7,1,-3,3,14.2740000000003,"uc",50,11003
