"","subject","age","female","faculty","esp","Treatment","Session","subject_unq"
"1",1,1994,1,1,1,1,1,11001
"2",2,1995,0,1,30,1,1,11002
"3",3,1995,0,6,2,1,1,11003
"4",4,1994,0,1,25,1,1,11004
"5",5,1993,1,2,12,1,1,11005
"6",6,1995,0,6,14,1,1,11006
"7",7,1995,1,1,20,1,1,11007
"8",8,1988,1,1,10,1,1,11008
"9",9,1995,0,1,45,1,1,11009
"10",10,1994,0,1,10,1,1,11010
"11",11,1994,1,1,12,1,1,11011
"12",12,1995,0,1,12,1,1,11012
"13",13,1995,1,1,20,1,1,11013
"14",14,1995,0,1,12,1,1,11014
"15",15,1995,1,1,10,1,1,11015
"16",16,1995,1,1,30,1,1,11016
"17",17,1993,0,1,8,1,1,11017
"18",18,1997,0,1,6,1,1,11018
"19",19,1994,0,8,8,1,1,11019
"20",20,1996,1,1,20,1,1,11020
"21",21,1995,0,1,3,1,1,11021
"22",22,1995,1,2,9,1,1,11022
"23",1,1994,0,5,22,2,2,22001
"24",2,1995,1,2,12,2,2,22002
"25",3,1995,0,1,25,2,2,22003
"26",4,1995,1,2,8,2,2,22004
"27",5,1995,1,1,20,2,2,22005
"28",6,1996,0,1,3,2,2,22006
"29",7,1995,1,2,18,2,2,22007
"30",8,1993,0,1,15,2,2,22008
"31",9,1991,1,6,7,2,2,22009
"32",10,1995,0,1,10,2,2,22010
"33",11,1996,1,2,5,2,2,22011
"34",12,1995,0,1,30,2,2,22012
"35",13,1997,1,1,5,2,2,22013
"36",14,1995,1,6,2,2,2,22014
"37",15,1993,1,2,10,2,2,22015
"38",16,1993,0,2,9,2,2,22016
"39",17,1997,0,1,1,2,2,22017
"40",18,1995,0,1,15,2,2,22018
"41",19,1995,1,2,0,2,2,22019
"42",20,1995,0,1,20,2,2,22020
"43",21,1995,0,1,10,2,2,22021
"44",22,1993,1,1,20,2,2,22022
"45",1,1996,1,1,3,2,3,23001
"46",2,1995,1,1,20,2,3,23002
"47",3,1996,1,6,1,2,3,23003
"48",4,1995,0,1,6,2,3,23004
"49",5,1995,1,6,5,2,3,23005
"50",6,1996,1,1,6,2,3,23006
"51",7,1996,1,1,4,2,3,23007
"52",8,1995,0,1,12,2,3,23008
"53",9,1994,0,1,20,2,3,23009
"54",10,1996,1,1,12,2,3,23010
"55",11,1997,1,1,10,2,3,23011
"56",12,1994,0,1,20,2,3,23012
"57",13,1994,0,1,10,2,3,23013
"58",14,1993,0,1,5,2,3,23014
"59",15,1997,1,1,15,2,3,23015
"60",16,1992,0,1,5,2,3,23016
"61",17,1997,0,1,0,2,3,23017
"62",18,1997,1,1,15,2,3,23018
"63",19,1996,0,1,3,2,3,23019
"64",20,1995,1,1,13,2,3,23020
"65",21,1995,1,1,4,2,3,23021
"66",22,1996,1,6,4,2,3,23022
"67",1,1995,1,6,4,1,4,14001
"68",2,1994,0,1,14,1,4,14002
"69",3,1995,1,2,10,1,4,14003
"70",4,1995,1,2,4,1,4,14004
"71",5,1997,0,1,12,1,4,14005
"72",6,1997,0,1,15,1,4,14006
"73",7,1993,1,8,3,1,4,14007
"74",8,1996,0,2,5,1,4,14008
"75",9,1997,0,1,15,1,4,14009
"76",10,1996,0,3,5,1,4,14010
"77",11,1996,0,3,4,1,4,14011
"78",12,1994,0,1,25,1,4,14012
"79",13,1994,0,2,5,1,4,14013
"80",14,1995,1,1,15,1,4,14014
"81",15,1996,0,1,5,1,4,14015
"82",16,1995,1,6,9,1,4,14016
"83",17,1994,0,7,45,1,4,14017
"84",18,1995,0,1,15,1,4,14018
"85",19,1997,1,1,10,1,4,14019
"86",20,1992,1,2,7,1,4,14020
"87",1,1995,1,2,4,1,5,15001
"88",2,1996,0,1,5,1,5,15002
"89",3,1996,0,1,4,1,5,15003
"90",4,1995,1,1,8,1,5,15004
"91",5,1994,0,1,6,1,5,15005
"92",6,1996,0,1,5,1,5,15006
"93",7,1995,1,1,8,1,5,15007
"94",8,1996,1,1,6,1,5,15008
"95",9,1997,1,1,6,1,5,15009
"96",10,1993,1,1,5,1,5,15010
"97",11,1995,1,1,15,1,5,15011
"98",12,1995,0,3,13,1,5,15012
"99",13,1995,0,1,9,1,5,15013
"100",14,1988,0,2,25,1,5,15014
"101",15,1993,0,2,25,1,5,15015
"102",16,1995,0,3,3,1,5,15016
"103",17,1995,0,1,15,1,5,15017
"104",18,1995,1,2,25,1,5,15018
"105",19,1997,0,3,6,1,5,15019
"106",20,1992,0,2,20,1,5,15020
"107",21,1998,0,2,0,1,5,15021
"108",22,1997,1,1,4,1,5,15022
"109",23,1994,0,3,9,1,5,15023
"110",24,1994,0,1,3,1,5,15024
"111",1,1995,1,6,5,2,6,26001
"112",2,1996,1,2,1,2,6,26002
"113",3,1992,0,1,3,2,6,26003
"114",4,1994,0,1,48,2,6,26004
"115",5,1993,0,3,10,2,6,26005
"116",6,1997,0,3,10,2,6,26006
"117",7,1992,0,3,3,2,6,26007
"118",8,1994,1,4,1,2,6,26008
"119",9,1997,1,1,10,2,6,26009
"120",10,1997,1,1,8,2,6,26010
"121",11,1992,0,1,10,2,6,26011
"122",12,1998,0,8,3,2,6,26012
"123",13,1989,0,1,15,2,6,26013
"124",14,1997,1,2,6,2,6,26014
"125",15,1995,0,1,13,2,6,26015
"126",16,1997,0,1,20,2,6,26016
"127",17,1997,0,1,10,2,6,26017
"128",18,1995,0,8,5,2,6,26018
"129",19,1996,1,2,10,2,6,26019
"130",20,1993,1,1,3,2,6,26020
"131",21,1993,1,2,6,2,6,26021
"132",22,1998,1,1,4,2,6,26022
"133",23,1992,0,1,2,2,6,26023
"134",24,1992,0,1,5,2,6,26024
