"","treatment","session","period","subject","group","first_player","uc","ccL","ccM","ccH","action","opp","ouc","occL","occM","occH","buc_L","buc_M","buc_H","bccL_L","bccL_M","bccL_H","bccM_L","bccM_M","bccM_H","bccH_L","bccH_M","bccH_H","opp_action","earning_kept","earning_received","earning_guess","earning_game","ucf","ccLf","ccMf","ccHf","oucf","occLf","occMf","occHf","subject_unq","session_unq","opp_unq","cond_type","opp_cond_type","cond_class_wide","cond_class_wide_o","cond_class_narrow","opp_cond_class_wide","opp_cond_class_wide_o","opp_cond_class_narrow","period_f","exp_pay_uc","exp_pay_ccL","exp_pay_ccM","exp_pay_ccH","opp_action_lag1","opp_cond_type_lag1","opp_cond_class_wide_lag1","opp_cond_class_wide_o_lag1","opp_cond_class_narrow_lag1","first_player_lag1","isCC","isS","isHS"
"1","CondInfo",1,1,1,8,1,0,0,50,100,0,5,100,50,100,100,0.5,0.25,0.25,1,0,0,0.25,0.4,0.35,0.5,0.25,0.25,50,100,150,0,250,"L","L","M","H",2,1,2,2,11001,10001,11005,5,17,"perf-cond-coop","perf-cond-coop","cond-coop","imp-cond-coop","imp-cond-coop","cond-coop","1",112.5,100,215,112.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"2","CondInfo",1,1,2,5,0,0,0,0,0,0,17,100,0,50,100,0.7,0.3,0,0.7,0.3,0,0.3,0.7,0,0.3,0,0.7,100,100,300,36.4,400,"L","L","L","L",2,0,1,2,11002,10001,11017,0,5,"selfish","selfish","selfish","perf-cond-coop","perf-cond-coop","cond-coop","1",45,145,155,210,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"3","CondInfo",1,1,3,1,1,50,0,50,50,50,20,50,50,100,50,0.25,0.5,0.25,0.7,0.25,0.05,0.25,0.5,0.25,0,0.5,0.5,100,50,300,18.9,350,"M","L","M","M",1,1,2,1,11003,10001,11020,4,16,"imp-cond-coop","imp-cond-coop","cond-coop","humped","humped","humped","1",150,152.5,200,225,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"4","CondInfo",1,1,4,3,1,100,0,0,0,100,22,0,0,50,50,0,0.5,0.5,1,0,0,0.4,0.6,0,0.3,0.35,0.35,50,0,150,40,150,"H","L","L","L",0,0,1,1,11004,10001,11022,0,4,"selfish","selfish","selfish","imp-cond-coop","imp-cond-coop","cond-coop","1",225,100,140,157.5,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"5","CondInfo",1,1,5,8,0,100,50,100,100,50,1,0,0,50,100,0.1,0.45,0.45,0.3,0.6,0.1,0.05,0.25,0.7,0.05,0.25,0.7,0,50,0,22.8,50,"H","M","H","H",0,0,1,2,11005,10001,11001,17,5,"imp-cond-coop","imp-cond-coop","cond-coop","perf-cond-coop","perf-cond-coop","cond-coop","1",202.5,220,297.5,247.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"6","CondInfo",1,1,6,9,0,100,0,50,50,50,9,100,0,0,0,0.2,0.45,0.35,1,0,0,0.5,0.5,0,0.1,0.45,0.45,100,50,300,40,350,"H","L","M","M",2,0,0,0,11006,10001,11009,4,0,"imp-cond-coop","imp-cond-coop","cond-coop","selfish","selfish","selfish","1",172.5,100,125,202.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"7","CondInfo",1,1,7,4,1,100,0,50,100,100,18,100,0,50,100,0.05,0.25,0.7,1,0,0,0,1,0,0,0,1,100,0,300,40,300,"H","L","M","H",2,0,1,2,11007,10001,11018,5,5,"perf-cond-coop","perf-cond-coop","cond-coop","perf-cond-coop","perf-cond-coop","cond-coop","1",247.5,100,200,300,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"8","CondInfo",1,1,8,6,0,0,0,0,50,0,12,0,0,0,100,0.35,0.4,0.25,0.6,0.3,0.1,0.25,0.5,0.25,0.45,0.35,0.2,0,100,0,34.8,100,"L","L","L","M",0,0,0,2,11008,10001,11012,1,2,"imp-cond-coop","imp-cond-coop","cond-coop","imp-cond-coop","imp-cond-coop","cond-coop","1",135,175,200,112.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"9","CondInfo",1,1,9,9,1,100,0,0,0,100,6,100,0,50,50,0.2,0.45,0.35,1,0,0,0.5,0.5,0,0.35,0,0.65,50,0,150,40,150,"H","L","L","L",2,0,1,1,11009,10001,11006,0,4,"selfish","selfish","selfish","imp-cond-coop","imp-cond-coop","cond-coop","1",172.5,100,125,195,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"10","CondInfo",1,1,10,7,0,50,0,50,50,0,21,0,0,0,0,0.2,0.75,0.05,1,0,0,0.35,0.65,0,0.3,0.65,0.05,0,100,0,40,100,"M","L","M","M",0,0,0,0,11010,10001,11021,4,0,"imp-cond-coop","imp-cond-coop","cond-coop","selfish","selfish","selfish","1",127.5,100,147.5,112.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
